"report-def-0-rfile"
"Iteration" "report-def-0 etc.."
("Iteration" "report-def-0" "report-def-1")
1 -0.6644929857269177 -64.88815508447756
2 -0.7420453638219179 -72.46119324302703
3 -0.7838049579710586 -76.5390436938486
4 -0.7941214859286998 -77.5464590923971
5 -0.8072443496372679 -78.82791492980149
6 -0.8088898602668927 -78.98860007053544
7 -0.7969463380385762 -77.82230766526932
8 -0.7792145928643278 -76.09079167413152
9 -0.7587564051288898 -74.09303686401526
10 -0.7354006451294728 -71.81233231255921
11 -0.7091308180146649 -69.24706728722063
12 -0.6798448012689623 -66.38726946057703
13 -0.6537901472862243 -63.84301622597766
14 -0.6286935112401209 -61.39231404124836
15 -0.6080438920477281 -59.37586582979645
16 -0.5900590957143182 -57.61963923491613
17 -0.5768685859330799 -56.33157771626519
18 -0.5642513916507059 -55.09950081415907
19 -0.5544361299002422 -54.1410343738217
20 -0.5471446450281744 -53.42901632195727
21 -0.5436478333616391 -53.0875504786856
22 -0.5393111823199463 -52.66407379588392
23 -0.5350860970446892 -52.25149157985629
24 -0.530462664123204 -51.80001046737497
25 -0.5275076697717689 -51.51145342333046
26 -0.5238306900395812 -51.15239405591867
27 -0.5215361424743005 -50.9283300530432
28 -0.5164318520367955 -50.42989290378915
29 -0.514542872760729 -50.24543289766481
30 -0.5126540638438044 -50.06098952721708
31 -0.5105783098621148 -49.85829085443313
32 -0.5092438304125251 -49.72797810269309
33 -0.507845578028896 -49.59143788411289
34 -0.5069572325298681 -49.50469039129104
35 -0.5056395825379287 -49.37602104660188
36 -0.5049750056544055 -49.31112469884518
37 -0.5041672967716921 -49.23225142197037
38 -0.5031581573032776 -49.13370832259256
39 -0.5024606137939692 -49.06559276323769
40 -0.5015646423317534 -48.97810059034752
41 -0.5008167075225145 -48.9050642890811
42 -0.5000746645186099 -48.83260332628547
43 -0.4991893198511833 -48.74614886654374
44 -0.4983765767876612 -48.6667839987687
45 -0.4976821134053797 -48.5989692157418
46 -0.4970332088991932 -48.53560328542067
47 -0.4963767240612876 -48.47149713097267
48 -0.495125810311898 -48.34934462205054
49 -0.4947430326118121 -48.3119661405623
50 -0.4940607385276349 -48.24533969709598
51 -0.4935819180166286 -48.19858257513506
52 -0.4930329844151582 -48.14497886609918
53 -0.4928534663994976 -48.12744881974677
54 -0.4925409309924815 -48.09692954204865
55 -0.4922405993966806 -48.06760197413794
56 -0.4921593631160988 -48.05966920060066
57 -0.4919188136867313 -48.03617939858086
58 -0.4920470687568471 -48.04870358628306
59 -0.4919655362148131 -48.04074188262994
60 -0.4917821462811007 -48.02283374106145
61 -0.4920137517916657 -48.04545016382403
62 -0.4920842848003518 -48.05233775617564
63 -0.4921855396105579 -48.06222535163388
64 -0.4926414771137494 -48.10674793358944
65 -0.4927126874367371 -48.11370166610565
66 -0.4931106468691106 -48.15256265323395
67 -0.4936089679858904 -48.20122402152831
68 -0.4939681180364253 -48.23629524828056
69 -0.4942361719874918 -48.26247088402302
70 -0.4944125701371916 -48.27969627351575
71 -0.4948541534585501 -48.32281716065
72 -0.4951784997036565 -48.35448977406443
73 -0.4956727081105134 -48.40274953366612
74 -0.4962173471045383 -48.45593387160262
75 -0.496434453696158 -48.47713446587447
76 -0.4968685433414035 -48.51952359085589
77 -0.4971207394523869 -48.54415069860977
78 -0.497493005807446 -48.58050274069097
79 -0.497720673491465 -48.60273463223184
80 -0.49805443712338 -48.63532685935004
81 -0.498338861923056 -48.6631011186841
82 -0.4986138768755328 -48.68995650056198
83 -0.4992009499737575 -48.74728455527704
84 -0.4995694956482498 -48.78327327057703
85 -0.4998847664065272 -48.81405965703426
86 -0.4999801103101603 -48.82337004877382
87 -0.5003467864183857 -48.85917619976015
88 -0.5003263644616674 -48.8571819829315
89 -0.5005861913318014 -48.88255423908244
90 -0.5007896719039739 -48.90242424404475
91 -0.5010210094447144 -48.92501449938658
92 -0.501245480519196 -48.94693424000958
93 -0.5014046939066819 -48.96248152673888
94 -0.5015650716505344 -48.97814251359463
95 -0.5015296261875031 -48.97468124199114
96 -0.5016076563324976 -48.98230093438582
97 -0.5019047609336894 -49.01131338425744
98 -0.5021256161264872 -49.03288003177562
99 -0.5021766889807986 -49.03786732789816
100 -0.5021509511569427 -49.03535401332333
101 -0.5022003054157821 -49.04017348752462
102 -0.5022227712275362 -49.04236728807408
103 -0.5022690504965648 -49.04688648759977
104 -0.5023787510632607 -49.05759881645427
105 -0.5024949293044817 -49.06894369427198
106 -0.5025881674720427 -49.0780484595689
107 -0.5026514034439911 -49.0842234917255
108 -0.502760486177692 -49.09487548880216
109 -0.5028929824930267 -49.10781383674899
110 -0.503009259872605 -49.1191683954892
111 -0.5031229243921246 -49.13026780681273
112 -0.503291432604774 -49.14672273902461
113 -0.5034456635748364 -49.16178348958061
114 -0.5035851706194391 -49.17540643961919
115 -0.5037395399675549 -49.19048070287853
116 -0.5039504654543574 -49.21107770840439
117 -0.5041065641927955 -49.22632084770884
118 -0.5043085262762864 -49.24604257130297
119 -0.5045006451425412 -49.26480309858611
120 -0.5046823555111841 -49.28254722957654
121 -0.5048573162836532 -49.29963225828494
122 -0.504998518689342 -49.31342076139248
123 -0.5051733779140763 -49.33049587390116
124 -0.5052794272399543 -49.34085165680931
