"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 -89.44519602481527
2 -77.85243206787629
3 -79.58138020724789
4 -80.55383515867335
5 -79.80358729926135
6 -79.46934013392914
7 -78.62237545805431
8 -76.09455363281944
9 -73.09173651421179
10 -70.02217921253983
11 -67.05077864725519
12 -64.47133379488488
13 -62.275336420548
14 -60.36879615445034
15 -58.70335370817462
16 -57.27995107015111
17 -56.0450219605335
18 -54.97321822461231
19 -54.06175171276207
20 -53.31572653225483
21 -52.72330887304872
22 -52.25996971089764
23 -51.89346912927324
24 -51.59621032967087
25 -51.34844119297374
26 -51.13978959969977
27 -50.9601291699489
28 -50.80491862610373
29 -50.6668473736155
30 -50.53672695328776
31 -50.4100423097688
32 -50.28663061791663
33 -50.16687848905527
34 -50.05093697477098
35 -49.93856706643465
36 -49.83078212417406
37 -49.72810477097421
38 -49.63218945950769
39 -49.54397608832371
40 -49.46275877218394
41 -49.38838102931814
42 -49.32383359338726
43 -49.27399841368374
44 -49.22694375204787
45 -49.1779864579879
46 -49.13145965342119
