deployment_level,mach,cd
0.08333333333,0.1166,0.5687191
0.08333333333,0.2332,0.53323149
0.08333333333,0.2915,0.5271364857
0.08333333333,0.3498,0.51534599
0.08333333333,0.4664,0.50375524
0.08333333333,0.583,0.4812938608
0.1666666667,0.1166,0.57809565
0.1666666667,0.2332,0.54557683
0.1666666667,0.2915,0.5363500635
0.1666666667,0.583,0.50592024
0.25,0.1166,0.57984962
0.25,0.2332,0.54934544
0.25,0.2915,0.5406937331
0.25,0.3498,0.53399973
0.25,0.4664,0.5238539
0.25,0.583,0.5121163
0.3333333333,0.1166,0.58401341
0.3333333333,0.2332,0.55547514
0.3333333333,0.2915,0.5473524921
0.3333333333,0.3498,0.54106534
0.3333333333,0.4664,0.53173434
0.3333333333,0.583,0.52497256
0.4166666667,0.1166,0.5937561
0.4166666667,0.2332,0.56670632
0.4166666667,0.2915,0.5590844581
0.4166666667,0.3498,0.55320503
0.4166666667,0.4664,0.54437276
0.4166666667,0.583,0.53806386
0.5,0.1166,0.60218811
0.5,0.2332,0.57652086
0.5,0.2915,0.5691752277
0.5,0.3498,0.56353212
0.5,0.4664,0.55519186
0.5,0.583,0.5490228
0.5833333333,0.1166,0.61333424
0.5833333333,0.2332,0.58907089
0.5833333333,0.2915,0.5821747896
0.5833333333,0.3498,0.57686106
0.5833333333,0.4664,0.56897594
0.5833333333,0.583,0.56322924
0.6666666667,0.1166,0.62281876
0.6666666667,0.2332,0.60015763
0.6666666667,0.2915,0.5937217372
0.6666666667,0.3498,0.58869544
0.6666666667,0.4664,0.58125453
0.6666666667,0.583,0.5757326
0.75,0.1166,0.63313681
0.75,0.2332,0.61187469
0.75,0.2915,0.6058700051
0.75,0.3498,0.60122591
0.75,0.4664,0.59431351
0.75,0.583,0.58930281
0.8333333333,0.1166,0.64423028
0.8333333333,0.2332,0.62421591
0.8333333333,0.2915,0.61846014
0.8333333333,0.3498,0.61404451
0.8333333333,0.4664,0.60751105
0.8333333333,0.583,0.60281488
0.9166666667,0.1166,0.65103775
0.9166666667,0.2332,0.63230922
0.9166666667,0.2915,0.6268795
0.9166666667,0.3498,0.62273401
0.9166666667,0.4664,0.61658537
0.9166666667,0.583,0.61220414
1,0.1166,0.66101687
1,0.2332,0.64183868
1,0.2915,0.63884921
1,0.3498,0.63455456
1,0.4664,0.62894991
1,0.583,0.6244677
